FAA Site     Short Name  Airport Name                               City                               ST  Latitude        Longitude        Tower
03310.02*A   7FD9        ESTHERBROOK AERODROME                      MADISON                            FL  30-37-27.7480N  083-17-12.5310W  N
03312.52*A   3FL8        HART                                       MALONE                             FL  30-56-46.6000N  085-16-25.7500W  N
03312.51*A   56FD        NORTH AMERICAN FARMS                       MALONE                             FL  30-57-52.6690N  085-04-09.7440W  N
03313.3*H    91FD        FREEDOM WPEC INC                           MANGONIA PARK                      FL  26-45-41.2270N  080-04-14.1500W  N
03314.03*H   10FL        FISHERMEN'S HOSPITAL EMERGENCY HELISTOP    MARATHON                           FL  24-42-37.5090N  081-05-40.2640W  N
03314.04*C   42FL        PLANTATION KEY                             MARATHON                           FL  24-58-16.4710N  080-35-44.2240W  N
03314.*A     MTH         THE FLORIDA KEYS MARATHON INTL             MARATHON                           FL  24-43-34.3000N  081-03-04.9000W  N
03314.02*H   2FD5        THE ISLAND FISH CO                         MARATHON                           FL  24-44-03.5050N  081-01-07.2580W  N
03315.44*A   MKY         MARCO ISLAND                               MARCO ISLAND                       FL  25-59-42.1000N  081-40-21.1000W  N
03319.2*H    69FL        GRIFFIN                                    MARIANNA                           FL  30-46-08.5000N  085-04-51.1000W  N
03319.01*H   28FD        JACKSON COUNTY HOSPITAL                    MARIANNA                           FL  30-47-13.6920N  085-14-27.7460W  N
03319.02*H   FL53        JOEY ANDERSON                              MARIANNA                           FL  30-44-04.6900N  085-11-05.7300W  N
03319.1*A    21FD        LAND'S FIELD                               MARIANNA                           FL  30-41-40.6970N  085-18-38.7400W  N
03319.*A     MAI         MARIANNA MUNI                              MARIANNA                           FL  30-50-16.1000N  085-10-54.8000W  N
03319.5*A    HRT         HURLBURT FIELD                             MARY ESTHER                        FL  30-25-44.1050N  086-41-19.6840W  Y
03319.6*A    06FD        GRASS ROOTS AIRPARK                        MASCOTTE                           FL  28-38-30.0000N  081-53-06.0000W  N
03319.91*A   33FD        R O RANCH                                  MAYO                               FL  29-54-51.8020N  083-15-59.4930W  N
03320.*A     NRB         MAYPORT NS (ADM DAVID L MCDONALD FIELD)    MAYPORT                            FL  30-23-28.9455N  081-25-28.2683W  Y
03308.57*A   8FD1        BUCKNER                                    MC ALPIN                           FL  30-05-55.8180N  082-55-39.4620W  N
03308.58*A   9FD9        BUDDY'S AG SERVICE                         MC ALPIN                           FL  30-07-20.8150N  082-58-04.4660W  N
03308.581*A  FL10        LITTLE RIVER                               MC ALPIN                           FL  30-06-53.8190N  082-54-32.4610W  N
03320.4*H    FD00        DADE COUNTY MOSQUITO CONTROL               MEDLEY                             FL  25-49-38.3510N  080-20-32.1870W  N
03321.04*H   3FD3        HOLMES RGNL MEDICAL CENTER                 MELBOURNE                          FL  28-05-16.0560N  080-36-49.1920W  N
03321.*A     MLB         MELBOURNE INTL                             MELBOURNE                          FL  28-06-09.9000N  080-38-42.9000W  Y
03321.05*H   92FD        NIERENBERG ESTATE                          MELBOURNE                          FL  28-13-06.0400N  080-41-03.1930W  N
03321.02*A   31FL        TEDFORD RANCH                              MELBOURNE                          FL  28-02-36.0690N  081-01-09.2270W  N
03321.06*H   66FL        VA OUTPATIENT CLINIC                       MELBOURNE                          FL  28-15-17.0300N  080-44-38.1900W  N
03321.07*H   8FA7        VIERA HOSPITAL                             MELBOURNE                          FL  28-13-36.4000N  080-43-51.5000W  N
03322.11*A   FD22        MELROSE LANDING                            MELROSE                            FL  29-40-00.8840N  081-57-18.3390W  N
03322.*A     39FA        SANDERS RANCH                              MELROSE                            FL  29-39-44.8840N  082-00-33.3450W  N
03323.*A     COI         MERRITT ISLAND                             MERRITT ISLAND                     FL  28-20-29.8000N  080-41-07.7000W  N
03324.3*H    9FA8        BAPTIST HOSPITAL                           MIAMI                              FL  25-41-09.8700N  080-20-18.5200W  N
03326.1*A    14FA        BURRS STRIP                                MIAMI                              FL  25-34-12.3850N  080-23-59.1960W  N
03326.*A     TNT         DADE-COLLIER TRAINING AND TRANSITION       MIAMI                              FL  25-51-42.5000N  080-53-49.2000W  N
03324.33*H   64FL        DISTRICT VI                                MIAMI                              FL  25-46-55.1300N  080-22-39.0800W  N
03324.52*H   0FD2        DOLPHIN STADIUM                            MIAMI                              FL  25-57-35.3320N  080-14-13.1740W  N
03330.2*H    0FA0        DORAL RESORT & COUNTRY CLUB                MIAMI                              FL  25-49-02.5000N  080-20-25.4000W  N
03324.32*H   FD23        FISHER ISLAND                              MIAMI                              FL  25-45-51.0000N  080-08-19.1650W  N
03324.51*H   FL94        FLORIDA POWER & LIGHT CO                   MIAMI                              FL  25-46-01.3590N  080-20-59.1880W  N
03330.3*H    25FA        JACKSON MEMORIAL HOSPITAL                  MIAMI                              FL  25-47-34.3500N  080-12-17.1700W  N
03330.13*H   FL91        JACKSON SOUTH COMMUNITY HOSPITAL           MIAMI                              FL  25-37-47.8200N  080-20-39.1400W  N
03326.15*H   FL98        KELLY TRACTOR CO                           MIAMI                              FL  25-49-38.3510N  080-20-01.1860W  N
03326.16*H   2FA0        KENDALL DISTRICT STATION                   MIAMI                              FL  25-41-44.3690N  080-22-53.1930W  N
03324.55*H   70FL        KENDALL RGNL MEDICAL CENTER                MIAMI                              FL  25-43-52.0000N  080-23-10.0000W  N
03325.15*A   FA35        LINDBERGH'S LANDING                        MIAMI                              FL  25-37-10.3000N  080-29-19.2000W  N
03324.5*H    FL25        MERCY HOSPITAL                             MIAMI                              FL  25-44-24.0600N  080-12-44.3000W  N
03324.1*C    X44         MIAMI                                      MIAMI                              FL  25-46-42.0000N  080-10-13.0000W  N
03324.4*H    FA76        MIAMI CHILDRENS HOSPITAL                   MIAMI                              FL  25-44-27.3800N  080-17-40.8000W  N
03325.1*A    TMB         MIAMI EXECUTIVE                            MIAMI                              FL  25-38-51.2294N  080-25-59.6086W  Y
03324.9*H    71FL        MIAMI FEDERAL RESERVE BANK                 MIAMI                              FL  25-48-27.3530N  080-20-31.1870W  N
03333.*A     MIA         MIAMI INTL                                 MIAMI                              FL  25-47-43.3000N  080-17-24.4000W  Y
03327.1*H    3FL5        MIAMI SEAQUARIUM                           MIAMI                              FL  25-44-02.5000N  080-10-00.3000W  N
03324.*A     FL31        MJD                                        MIAMI                              FL  25-33-16.3900N  080-33-14.2100W  N
03339.*A     OPF         OPA-LOCKA EXECUTIVE                        MIAMI                              FL  25-54-26.7000N  080-16-41.6000W  Y
03324.6*H    FL83        WSVN TELEVISION CHANNEL 7                  MIAMI                              FL  25-51-01.3460N  080-09-16.1660W  N
03339.51*H   FL93        MOUNT SINAI MEDICAL CENTER                 MIAMI BEACH                        FL  25-48-52.1500N  080-08-28.3600W  N
03339.52*H   23FA        OCEAN BEACH RESORT                         MIAMI BEACH                        FL  25-49-32.3490N  080-07-16.1620W  N
03341.*H     1FD6        PAINES PRAIRIE                             MICANOPY                           FL  29-32-45.8890N  082-17-14.3640W  N
03343.1*A    FL12        INGALLS FIELD                              MICCOSUKEE                         FL  30-35-25.7170N  084-01-49.6090W  N
03344.04*H   71FD        BLACKCREEK INTL                            MIDDLEBURG                         FL  30-04-26.0000N  081-48-57.0000W  N
03344.01*A   FL13        SPENCER'S AIRPARK                          MIDDLEBURG                         FL  30-04-06.8630N  081-57-38.3740W  N
03344.08*H   5VG5        ST VINCENT'S CLAY COUNTY                   MIDDLEBURG                         FL  30-06-27.5000N  081-49-58.5000W  N
03344.02*A   11FL        WILLIAMS FIELD                             MIDDLEBURG                         FL  30-02-34.8640N  081-52-51.3610W  N
03349.1*A    FL77        CALUSA RANCH                               MILES CITY                         FL  26-03-16.3280N  081-04-04.2520W  N
03352.1*A    NFJ         CHOCTAW NOLF                               MILTON                             FL  30-30-25.0000N  086-57-35.0000W  Y
03351.4*A    93FD        CHUMUCKLA 20-20                            MILTON                             FL  30-45-16.6810N  087-10-38.8940W  N
03351.2*A    24FL        GARCON FIELD                               MILTON                             FL  30-29-24.0000N  087-05-09.0000W  N
03351.1*A    16FL        J-22 RANCH                                 MILTON                             FL  30-43-30.6840N  087-12-04.8960W  N
03351.*A     2R4         PETER PRINCE FIELD                         MILTON                             FL  30-38-15.4350N  086-59-37.1500W  N
03351.01*H   94FD        SANTA ROSA MEDICAL CENTER                  MILTON                             FL  30-38-01.3100N  087-03-58.2500W  N
03351.3*A    NGS         SANTA ROSA NOLF                            MILTON                             FL  30-36-39.0000N  086-56-24.0000W  N
03352.01*A   NSE         WHITING FIELD NAS NORTH                    MILTON                             FL  30-43-20.8925N  087-01-26.0445W  Y
03352.*A     NDZ         WHITING FIELD NAS SOUTH                    MILTON                             FL  30-41-54.8633N  087-00-51.8640W  Y
03354.11*U   3FD4        FLORIDA FLYING GATORS                      MINNEOLA                           FL  28-37-39.9890N  081-48-10.2780W  N
03356.*H     1FL4        NBC 6 (WTVJ)                               MIRAMAR                            FL  25-59-11.0000N  080-21-14.0000W  N
03358.*A     74FL        JEFFERSON LANDINGS                         MONTICELLO                         FL  30-35-04.7290N  083-42-28.5720W  N
03358.12*A   7FA8        LAKEVIEW AIRSTRIP                          MONTICELLO                         FL  30-31-32.1600N  083-51-29.7300W  N
03361.1*A    FA30        REDTAIL AIRSTRIP                           MORRISTON                          FL  29-16-45.0000N  082-30-00.0000W  N
03365.*C     22FL        LAKESIDE                                   MOUNT DORA                         FL  28-47-34.0700N  081-39-19.1300W  N
03369.62*H   9FL6        LAND SOUTH                                 MULBERRY                           FL  27-51-59.0000N  081-58-10.0000W  N
03370.*A     8FD3        BLACKWATER AIRFIELD                        MUNSON                             FL  30-52-39.6660N  086-51-15.8560W  N
03379.01*H   FD97        NAPLES COMMUNITY HOSPITAL                  NAPLES                             FL  26-09-03.7000N  081-47-51.9700W  N
03379.*A     APF         NAPLES MUNI                                NAPLES                             FL  26-09-08.7895N  081-46-32.2996W  Y
03379.03*H   4FL7        PHYSICIANS RGNL MED CTR-COLLIER BLVD       NAPLES                             FL  26-06-23.7100N  081-41-07.0700W  N
03378.21*A   FA37        WING SOUTH AIRPARK                         NAPLES                             FL  26-07-00.3300N  081-42-11.3090W  N
03384.*A     1J9         FORT WALTON BEACH                          NAVARRE                            FL  30-24-22.7000N  086-49-45.1000W  N
03384.01*H   52FD        PULLUM PAD                                 NAVARRE                            FL  30-24-08.7160N  086-51-59.8550W  N
03385.*H     FL30        HCA NEW PORT RICHEY HOSPITAL               NEW PORT RICHEY                    FL  28-14-06.0370N  082-43-04.3610W  N
03385.02*A   FA40        HIDDEN LAKE                                NEW PORT RICHEY                    FL  28-16-59.1000N  082-38-26.5200W  N
03385.06*H   6FA6        NORTH BAY HOSPITAL                         NEW PORT RICHEY                    FL  28-15-20.0000N  082-42-50.0000W  N
03385.03*H   9FL4        PASCO COUNTY MOSQUITO                      NEW PORT RICHEY                    FL  28-11-36.2400N  082-37-13.4100W  N
03385.04*H   FL32        RGNL MEDICAL CENTER BAYONET POINT          NEW PORT RICHEY                    FL  28-21-44.7300N  082-41-16.8800W  N
03387.2*A    X50         MASSEY RANCH AIRPARK                       NEW SMYRNA BEACH                   FL  28-58-44.1000N  080-55-29.2000W  N
03387.*A     EVB         NEW SMYRNA BEACH MUNI                      NEW SMYRNA BEACH                   FL  29-03-20.5000N  080-56-56.1000W  Y
03388.1*A    FL17        RUCKEL                                     NICEVILLE                          FL  30-31-10.7080N  086-26-17.8150W  N
03388.12*H   6FL5        TWIN CITIES HOSPITAL                       NICEVILLE                          FL  30-32-02.0000N  086-29-47.0000W  N
03388.94*H   05FD        AVENTURA                                   NORTH MIAMI BEACH                  FL  25-57-39.3310N  080-08-21.1630W  N
03389.13*H   FL87        INTRA COASTAL POLICE SUB-STATION           NORTH MIAMI BEACH                  FL  25-55-01.3370N  080-08-59.1650W  N
03390.*H     84FD        NORTH PORT EMS                             NORTH PORT                         FL  27-02-46.2200N  082-14-09.6900W  N
03390.01*H   49FA        NORTH PORT FIRE RESCUE STATION 81          NORTH PORT                         FL  27-04-27.9000N  082-12-29.0000W  N
03390.02*H   4FL4        NORTH PORT FIRE RESCUE STATION 84          NORTH PORT                         FL  27-03-58.7400N  082-09-45.4600W  N
03392.5*A    FL18        SUWANNEE FARMS                             O'BRIEN                            FL  30-05-25.8100N  083-03-16.4740W  N
03391.*A     2FD6        TULLY RV AIRPARK                           OAK HILL                           FL  28-53-23.0350N  080-52-02.1600W  N
03391.01*A   34FD        BLUE RIDGE FLIGHTPARK                      OAKHILL                            FL  28-51-25.9620N  080-54-25.1960W  N
03391.5*C    0FA5        BRILEY FARM                                OAKLAND                            FL  28-34-22.0000N  081-37-43.0000W  N
03393.3*H    FL49        BERNIE LITTLE                              OCALA                              FL  29-10-10.9100N  082-08-58.3300W  N
03394.05*A   FL19        CROSSWIND FARM                             OCALA                              FL  29-14-42.9020N  082-21-13.3590W  N
03394.02*A   FD29        FLYING DUTCHMAN RANCH                      OCALA                              FL  29-07-50.9200N  082-07-09.3200W  N
03394.03*A   FL63        IDLE WILD                                  OCALA                              FL  29-17-20.9010N  082-19-20.3570W  N
03393.1*A    17FL        JUMBOLAIR                                  OCALA                              FL  29-16-48.9080N  082-07-29.3330W  N
03393.4*H    FL79        LOCKHEED MARTIN-OCALA                      OCALA                              FL  29-05-08.9300N  081-59-03.3100W  N
03394.01*A   FL61        MC GINLEY                                  OCALA                              FL  29-01-33.9250N  082-12-44.3340W  N
03394.*A     OCF         OCALA INTL-JIM TAYLOR FIELD                OCALA                              FL  29-10-18.7564N  082-13-26.8127W  Y
03393.7*H    3FD1        ORMC TRAUMA CENTER                         OCALA                              FL  29-10-32.0000N  082-08-12.0000W  N
03394.04*A   FA49        SHADY INTL                                 OCALA                              FL  29-05-45.9200N  082-10-44.3330W  N
03394.09*H   1FL6        SHERIFF'S NORTH MULTI DISTRICT OFFICE      OCALA                              FL  29-16-26.0000N  082-09-01.0000W  N
03394.08*H   3FL3        SHERIFF'S OPERATION CENTER                 OCALA                              FL  29-11-35.9100N  082-10-30.3300W  N
03394.1*H    FL68        SHERIFF'S SOUTH MULTI DISTRICT OFFICE      OCALA                              FL  29-06-20.9200N  082-05-27.3200W  N
03393.2*A    FD04        LEEWARD AIR RANCH                          OCALA/BELLEVIEW                    FL  29-05-33.3000N  082-01-55.2000W  N
03394.4*H    FL21        BERLIN                                     OCEANWAY                           FL  30-27-46.8580N  081-36-54.3440W  N
03394.44*A   16FA        LITTLE DEER                                OCHOPEE                            FL  26-01-51.3310N  081-02-19.2490W  N
03394.431*A  FA80        LOST HORN RANCH                            OCHOPEE                            FL  25-58-05.3400N  081-04-53.2550W  N
03394.45*A   FA74        ROMOR RANCH                                OCHOPEE                            FL  25-58-51.3380N  081-03-24.2520W  N
03394.62*H   76FL        HEALTH CENTRAL                             OCOEE                              FL  28-33-02.0000N  081-31-41.0000W  N
03394.90*C   57FL        LAKE KEYSTONE SEAPLANE BASE                ODESSA                             FL  28-08-09.4000N  082-35-38.3100W  N
03396.17*H   FD40        AMISTAD NORTH HELIPORT                     OKEECHOBEE                         FL  27-16-19.0000N  080-40-54.0000W  N
03396.15*H   15FA        AMISTAD RANCH                              OKEECHOBEE                         FL  27-12-57.0100N  080-41-05.5200W  N
03396.002*H  60FA        BRIGHTON                                   OKEECHOBEE                         FL  27-04-59.0000N  081-04-59.0000W  N
03396.12*A   96FD        CITRUS HEDGING RANCH                       OKEECHOBEE                         FL  27-20-00.1550N  080-44-10.2100W  N
03396.13*A   FD39        FLYING COW AIR RANCH                       OKEECHOBEE                         FL  27-09-20.0000N  080-41-30.0000W  N
03396.01*H   26FL        HCA RAULERSON HOSPITAL                     OKEECHOBEE                         FL  27-15-56.1630N  080-49-49.2180W  N
03396.14*A   83FD        LAKE MONTAZA                               OKEECHOBEE                         FL  27-34-49.0000N  080-48-55.0000W  N
03396.03*A   8FD5        LYKES BRIGHTON                             OKEECHOBEE                         FL  27-11-20.1720N  081-05-13.2400W  N
03396.*A     OBE         OKEECHOBEE COUNTY                          OKEECHOBEE                         FL  27-15-59.7000N  080-51-01.4000W  N
03396.3*A    90FL        PAXTON                                     OKEECHOBEE                         FL  27-21-40.1540N  080-45-39.2120W  N
03396.5*A    33FA        RECREATION CORPORATION                     OKEECHOBEE                         FL  27-35-53.1250N  080-50-45.2180W  N
03396.1*A    FD70        RIVER ACRES                                OKEECHOBEE                         FL  27-19-31.1550N  081-01-43.2340W  N
03396.02*A   00FL        RIVER OAK                                  OKEECHOBEE                         FL  27-13-51.1670N  080-58-09.2300W  N
03396.11*A   08FD        SUNNILAND RANCH                            OKEECHOBEE                         FL  27-21-47.1540N  080-46-22.2130W  N
03396.41*A   32FA        SUNSET STRIP AIRPARK                       OKEECHOBEE                         FL  27-14-03.1660N  080-54-13.2240W  N
03397.1*C    24FA        LAKE WEIR                                  OKLAWAHA                           FL  29-02-03.9330N  081-57-02.3040W  N
03397.4*A    FA38        WOODS AND LAKES AIRPARK                    OKLAWAHA                           FL  29-07-24.9250N  081-53-13.3000W  N
03400.01*C   FD80        MANATEE                                    OLD TOWN                           FL  29-30-21.0000N  082-59-02.0000W  N
03400.*A     5FD0        MANATEE SPRINGS                            OLD TOWN                           FL  29-29-33.8490N  082-59-28.4490W  N
03400.02*H   0FL3        OLD TOWN EMS                               OLD TOWN                           FL  29-36-11.8000N  082-58-48.5800W  N
03402.*H     3FL2        FLORIDA HOSPITAL-FISH MEMORIAL             ORANGE CITY                        FL  28-54-53.0000N  081-17-05.0000W  N
03403.*C     62FD        DOCTORS LAKE                               ORANGE PARK                        FL  30-07-31.0000N  081-44-39.0000W  N
03403.01*H   20FA        ORANGE PARK MEDICAL CENTER                 ORANGE PARK                        FL  30-09-55.0000N  081-44-10.5000W  N
03405.2*A    FD02        85TH AVENUE AIRSTRIP                       ORANGE SPRINGS                     FL  29-29-05.8950N  082-01-19.3260W  N
03406.20*H   2FD7        AIR ORLANDO                                ORLANDO                            FL  28-26-08.0210N  081-28-23.2590W  N
03406.31*H   3FD5        ARNOLD PALMER HOSPITAL                     ORLANDO                            FL  28-31-21.0090N  081-22-49.2520W  N
03406.36*H   2FL5        BROOKSVILLE INTL AIRWAYS- INC              ORLANDO                            FL  28-25-26.0000N  081-27-35.0000W  N
03406.24*H   FD99        DR P PHILLIPS HOSPITAL                     ORLANDO                            FL  28-25-43.0220N  081-28-38.2590W  N
03408.*A     ORL         EXECUTIVE                                  ORLANDO                            FL  28-32-43.7000N  081-19-58.5000W  Y
03406.11*H   37FA        FLORIDA HOSPITAL                           ORLANDO                            FL  28-34-32.0020N  081-22-06.2490W  N
03406.22*H   FD36        FLORIDA HOSPITAL EAST ORLANDO              ORLANDO                            FL  28-32-26.7000N  081-16-51.0000W  N
03406.40*H   FL76        HELI-PARTNERS I-DRIVE                      ORLANDO                            FL  27-23-04.0000N  081-29-07.0000W  N
03406.39*H   97FD        HELICOPTERS INTL                           ORLANDO                            FL  28-27-51.8300N  081-27-35.8800W  N
03407.2*A    ISM         KISSIMMEE GATEWAY                          ORLANDO                            FL  28-17-23.3000N  081-26-13.5000W  Y
03406.*C     91FL        LAKE CONWAY NORTH                          ORLANDO                            FL  28-28-45.0140N  081-22-03.2510W  N
03406.33*C   89FL        LAKE HIAWASSEE                             ORLANDO                            FL  28-31-45.0100N  081-28-51.2600W  N
03407.15*A   54FD        LM-ETS                                     ORLANDO                            FL  28-22-03.0000N  081-04-34.0000W  N
03407.09*H   82FD        LOCKHEED MARTIN                            ORLANDO                            FL  28-26-48.4900N  081-27-03.6900W  N
03406.18*H   32FL        MEYER                                      ORLANDO                            FL  28-30-05.0120N  081-26-39.2560W  N
03408.4*H    27FA        ORANGE COUNTY SHERIFF'S OFFICE             ORLANDO                            FL  28-30-27.0110N  081-24-48.2540W  N
03407.*A     MCO         ORLANDO INTL                               ORLANDO                            FL  28-25-45.8000N  081-18-32.4000W  Y
03406.21*H   FD28        ORLANDO RGNL MEDICAL CENTER                ORLANDO                            FL  28-31-31.0090N  081-22-37.2510W  N
03407.1*A    SFB         ORLANDO SANFORD INTL                       ORLANDO                            FL  28-46-37.1000N  081-14-05.7000W  Y
03406.29*H   7FA5        PREMIUM                                    ORLANDO                            FL  28-23-21.0000N  081-29-19.0000W  N
03406.113*H  26FA        PRINCETON HOSPITAL                         ORLANDO                            FL  28-34-06.0040N  081-26-02.2550W  N
03406.14*A   01FA        RYBOLT RANCH                               ORLANDO                            FL  28-35-21.9970N  081-08-39.2290W  N
03406.38*C   12FL        TIMBERLACHEN                               ORLANDO                            FL  28-35-34.0000N  081-24-14.0000W  N
03406.34*H   0FL7        WKMG-TV                                    ORLANDO                            FL  28-35-38.7000N  081-25-11.6000W  N
03406.3*H    13FD        YELVINGTON                                 ORLANDO                            FL  28-31-07.0090N  081-22-59.2520W  N
03406.1*C    98FL        SAND LAKE                                  ORLANDO/BUENA VISTA                FL  28-26-01.0220N  081-29-29.2600W  N
03411.2*A    04FL        CROSS CREEK FARMS                          ORMOND                             FL  29-14-21.9290N  081-13-19.2180W  N
03411.11*A   0FD0        BIG 'G'                                    ORMOND BEACH                       FL  29-16-02.9260N  081-13-48.2200W  N
03411.*A     OMN         ORMOND BEACH MUNI                          ORMOND BEACH                       FL  29-18-04.1000N  081-06-49.7000W  Y
03412.*H     3FA5        RICHARD KOHLER                             OSTEEN                             FL  28-46-50.0000N  081-06-55.0000W  N
03414.1*C    98FD        LAKE JESSUP                                OVIEDO                             FL  28-43-00.9830N  081-13-59.2320W  N
03415.*A     31FA        S & S AVION RANCH                          OXFORD                             FL  28-57-33.0000N  082-08-03.0000W  N
03416.*A     NRQ         SPENCER NOLF                               PACE                               FL  30-37-00.0000N  087-08-00.0000W  N
03419.1*A    PHK         PALM BEACH CO GLADES                       PAHOKEE                            FL  26-47-06.1000N  080-41-36.1000W  N
03421.01*H   30FL        COLUMBIA PUTNAM COMMUNITY HOSPITAL         PALATKA                            FL  29-38-33.8900N  081-41-33.3000W  N
03421.*A     28J         PALATKA MUNI - LT KAY LARKIN FIELD         PALATKA                            FL  29-39-30.1769N  081-41-22.2110W  N
03422.31*H   2FL7        PORTA TARGET                               PALM BAY                           FL  27-55-27.0800N  080-36-49.2000W  N
03422.54*H   87FD        PALM BEACH GARDENS MEDICAL CENTER          PALM BEACH GARDENS                 FL  26-49-43.2900N  080-05-07.3300W  N
03422.52*H   1FD7        PGA NATIONAL                               PALM BEACH GARDENS                 FL  26-49-58.2190N  080-08-36.1570W  N
03423.3*A    FIN         FLAGLER EXECUTIVE                          PALM COAST                         FL  29-27-56.5209N  081-12-31.3852W  Y
03423.2*H    61FD        FLORIDA HOSPITAL-FLAGLER                   PALM COAST                         FL  29-28-44.0000N  081-11-30.0000W  N
03091.01*H   1FD8        MEMORIAL HOSPITAL-FLAGLER HELISTOP         PALM COAST                         FL  29-28-06.9100N  081-15-11.2280W  N
03426.19*C   FA84        LAKE TARPON                                PALM HARBOR                        FL  28-07-30.0000N  082-43-37.0000W  N
03423.5*A    FL73        LYKES PALMDALE                             PALMDALE                           FL  26-56-52.2080N  081-19-07.2610W  N
03424.12*A   48X         AIRPORT MANATEE                            PALMETTO                           FL  27-38-33.3500N  082-31-11.7000W  N
03427.*A     2J0         WAKULLA COUNTY                             PANACEA                            FL  29-59-22.0400N  084-23-43.4100W  N
03430.03*H   36FD        BAY HELICOPTERS                            PANAMA CITY                        FL  30-11-37.7230N  085-39-40.7410W  N
03430.06*H   8FL4        BAY MEDICAL CENTER                         PANAMA CITY                        FL  30-09-28.0000N  085-38-58.0000W  N
03430.11*C   4FD4        BAY SEAPLANES                              PANAMA CITY                        FL  30-11-05.7260N  085-44-59.7510W  N
03430.13*H   27FD        COASTAL HELICOPTERS INC                    PANAMA CITY                        FL  30-16-19.7130N  085-31-14.7260W  N
03430.12*C   4FD5        GRAND LAGOON                               PANAMA CITY                        FL  30-08-05.7300N  085-44-02.7480W  N
03430.15*H   70FD        GULF COAST HELICOPTERS                     PANAMA CITY                        FL  30-14-20.0000N  085-33-28.0000W  N
03430.04*H   99FD        HELI-TECH INC                              PANAMA CITY                        FL  30-12-40.7230N  085-41-29.7440W  N
03430.01*H   NBV         NAVAL SURFACE WARFARE CENTER PANAMA CITY   PANAMA CITY                        FL  30-10-30.6000N  085-45-09.0000W  N
03430.3*A    ECP         NORTHWEST FLORIDA BEACHES INTL             PANAMA CITY                        FL  30-21-29.7000N  085-47-44.2000W  Y
03430.05*H   FA20        POST ELECTRIC INC                          PANAMA CITY                        FL  30-12-28.7230N  085-40-32.7420W  N
03430.2*A    75FL        SANDY CREEK AIRPARK                        PANAMA CITY                        FL  30-06-08.7260N  085-28-44.7190W  N
03430.*A     PAM         TYNDALL AFB                                PANAMA CITY                        FL  30-04-10.4400N  085-34-31.4900W  Y
03430.62*H   FA34        BEACH MOSQUITO CONTROL DISTRICT            PANAMA CITY BEACH                  FL  30-12-30.7200N  085-49-39.7500W  N
03430.6*H    0FD1        PANHANDLE HELICOPTER LLC                   PANAMA CITY BEACH                  FL  30-12-50.7270N  085-52-19.7630W  N
03430.14*H   65FD        YELLOW WHIRLEY BIRD                        PANAMA CITY BEACH                  FL  30-11-56.0000N  085-49-42.0000W  N
03432.7*H    FA21        MEMORIAL HOSPITAL WEST HELISTOP            PEMBROKE PINES                     FL  26-00-47.1700N  080-18-40.1800W  N
03433.4*H    FL85        BAPTIST HOSPITAL                           PENSACOLA                          FL  30-25-45.7110N  087-13-51.8950W  N
03433.2*A    82J         FERGUSON                                   PENSACOLA                          FL  30-23-53.7000N  087-20-56.0000W  N
03435.*A     PNS         PENSACOLA INTL                             PENSACOLA                          FL  30-28-24.3320N  087-11-11.8040W  Y
03435.5*A    NPA         PENSACOLA NAS/FORREST SHERMAN FIELD        PENSACOLA                          FL  30-21-11.7820N  087-19-04.6904W  Y
03433.12*H   9FD1        SACRED HEART HOSPITAL                      PENSACOLA                          FL  30-28-33.7000N  087-12-42.8940W  N
03437.*A     NUN         SAUFLEY FIELD NOLF                         PENSACOLA                          FL  30-28-11.0000N  087-20-17.0000W  N
03434.2*H    FL24        WEST FLORIDA RGNL MEDICAL CENTER           PENSACOLA                          FL  30-30-00.7060N  087-14-59.8990W  N
03440.18*H   46FA        PERDIDO KEY FIRE STATION                   PERDIDO KEY                        FL  30-17-30.0000N  087-28-10.0000W  N
03442.03*A   FA32        CIRCLE P                                   PERRY                              FL  30-06-12.0000N  083-27-01.0000W  N
03442.04*H   0FA2        DOCTORS MEMORIAL HOSPITAL #2               PERRY                              FL  30-07-11.1111N  083-35-33.8345W  N
03442.02*A   FA29        LUMAR FIELD                                PERRY                              FL  30-07-51.0000N  083-32-58.0000W  N
03442.*A     40J         PERRY-FOLEY                                PERRY                              FL  30-04-09.4000N  083-34-50.1000W  N
03443.1*A    2J8         PIERSON MUNI                               PIERSON                            FL  29-15-00.1000N  081-27-33.6000W  N
03443.31*H   4FD6        PINE ISLAND HELISTOP                       PINE ISLAND CENTER                 FL  26-36-24.2690N  082-06-39.3320W  N
03443.35*H   95FL        PINELLAS COUNTY MOSQUITO CONTROL           PINELLAS PARK                      FL  27-52-32.0840N  082-41-21.3580W  N
03443.4*A    FA54        CORAL CREEK                                PLACIDA                            FL  26-51-13.4700N  082-15-09.3700W  N
03443.5*H    41FD        ROTUNDA                                    PLACIDA                            FL  26-53-45.0000N  082-14-30.0000W  N
03446.01*U   9FD2        BLACKWATER CREEK                           PLANT CITY                         FL  28-08-13.0520N  082-08-47.3060W  N
03446.02*A   79FD        MIDWAY LAKE                                PLANT CITY                         FL  28-02-31.0500N  082-05-32.3000W  N
03446.*A     PCM         PLANT CITY                                 PLANT CITY                         FL  28-00-00.6000N  082-09-47.9000W  N
03448.16*H   24FD        POINCIANA MEDICAL CENTER                   POINCIANA                          FL  28-08-41.0000N  081-28-32.0000W  N
